ts,time_minutes
21.67282490176312,0.0
21.844267972377093,0.3333333333333333
21.67282490176312,0.6666666666666666
21.844267972377093,1.0
22.015711042991065,1.3333333333333333
21.501381831149146,1.6666666666666667
22.015711042991065,2.0
22.53004025483298,2.3333333333333335
22.70148332544695,2.6666666666666665
22.70148332544695,3.0
23.044369466674894,3.3333333333333335
23.38725560790284,3.6666666666666665
23.730141749130784,4.0
23.901584819744755,4.333333333333333
24.2444709609727,4.666666666666667
24.930243243428585,5.0
25.27312938465653,5.333333333333333
25.27312938465653,5.666666666666667
25.787458596498446,6.0
26.30178780834036,6.333333333333333
26.644673949568304,6.666666666666667
26.81611702018228,7.0
27.501889302638165,7.333333333333333
27.501889302638165,7.666666666666667
28.01621851448008,8.0
28.359104655708023,8.333333333333334
28.530547726322,8.666666666666666
28.70199079693597,9.0
29.216320008777885,9.333333333333334
29.387763079391856,9.666666666666666
30.073535361847743,10.0
29.7306492206198,10.333333333333334
30.41642150307569,10.666666666666666
30.244978432461718,11.0
31.102193785531576,11.333333333333334
31.273636856145547,11.666666666666666
31.273636856145547,12.0
31.959409138601437,12.333333333333334
31.787966067987462,12.666666666666666
32.30229527982938,13.0
32.64518142105732,13.333333333333334
32.64518142105732,13.666666666666666
32.64518142105732,14.0
33.15951063289924,14.333333333333334
33.33095370351321,14.666666666666666
33.502396774127185,15.0
33.67383984474115,15.333333333333334
33.84528291535513,15.666666666666666
34.016725985969096,16.0
34.18816905658307,16.333333333333332
34.016725985969096,16.666666666666668
34.35961212719704,17.0
34.18816905658307,17.333333333333332
34.531055197811014,17.666666666666668
35.04538440965293,18.0
35.04538440965293,18.333333333333332
35.04538440965293,18.666666666666668
34.87394133903896,19.0
35.2168274802669,19.333333333333332
35.73115669210882,19.666666666666668
35.388270550880875,20.0
35.04538440965293,20.333333333333332
35.2168274802669,20.666666666666668
35.388270550880875,21.0
34.70249826842499,21.333333333333332
34.531055197811014,21.666666666666668
34.35961212719704,22.0
34.35961212719704,22.333333333333332
34.016725985969096,22.666666666666668
33.67383984474115,23.0
33.502396774127185,23.333333333333332
33.33095370351321,23.666666666666668
32.988067562285266,24.0
32.64518142105732,24.333333333333332
32.30229527982938,24.666666666666668
32.30229527982938,25.0
32.130852209215405,25.333333333333332
31.61652299737349,25.666666666666668
31.61652299737349,26.0
31.273636856145547,26.333333333333332
31.61652299737349,26.666666666666668
31.102193785531576,27.0
31.273636856145547,27.333333333333332
30.930750714917604,27.666666666666668
30.58786457368966,28.0
30.58786457368966,28.333333333333332
30.58786457368966,28.666666666666668
30.073535361847743,29.0
30.244978432461718,29.333333333333332
30.073535361847743,29.666666666666668
29.7306492206198,30.0
29.7306492206198,30.333333333333332
29.044876938163913,30.666666666666668
29.387763079391856,31.0
29.559206150005828,31.333333333333332
29.559206150005828,31.666666666666668
29.044876938163913,32.0
29.216320008777885,32.333333333333336
28.530547726322,32.666666666666664
28.87343386754994,33.0
28.87343386754994,33.333333333333336
28.70199079693597,33.666666666666664
28.530547726322,34.0
28.70199079693597,34.333333333333336
28.359104655708023,34.666666666666664
28.530547726322,35.0
28.359104655708023,35.333333333333336
28.359104655708023,35.666666666666664
28.359104655708023,36.0
28.18766158509405,36.333333333333336
28.01621851448008,36.666666666666664
28.18766158509405,37.0
28.01621851448008,37.333333333333336
28.01621851448008,37.666666666666664
27.673332373252137,38.0
28.01621851448008,38.333333333333336
27.84477544386611,38.666666666666664
27.330446232024194,39.0
27.330446232024194,39.333333333333336
27.330446232024194,39.666666666666664
27.501889302638165,40.0
27.330446232024194,40.333333333333336
27.330446232024194,40.666666666666664
27.159003161410222,41.0
27.330446232024194,41.333333333333336
26.98756009079625,41.666666666666664
27.159003161410222,42.0
27.159003161410222,42.333333333333336
26.81611702018228,42.666666666666664
27.159003161410222,43.0
26.81611702018228,43.333333333333336
26.98756009079625,43.666666666666664
26.81611702018228,44.0
26.644673949568304,44.333333333333336
26.644673949568304,44.666666666666664
26.644673949568304,45.0
26.81611702018228,45.333333333333336
26.473230878954332,45.666666666666664
26.644673949568304,46.0
26.30178780834036,46.333333333333336
26.30178780834036,46.666666666666664
26.13034473772639,47.0
26.30178780834036,47.333333333333336
26.30178780834036,47.666666666666664
26.473230878954332,48.0
26.473230878954332,48.333333333333336
26.30178780834036,48.666666666666664
26.30178780834036,49.0
26.13034473772639,49.333333333333336
26.30178780834036,49.666666666666664
26.13034473772639,50.0
26.30178780834036,50.333333333333336
26.30178780834036,50.666666666666664
26.13034473772639,51.0
25.958901667112418,51.333333333333336
26.13034473772639,51.666666666666664
26.13034473772639,52.0
26.13034473772639,52.333333333333336
26.30178780834036,52.666666666666664
25.958901667112418,53.0
26.473230878954332,53.333333333333336
26.13034473772639,53.666666666666664
26.30178780834036,54.0
26.30178780834036,54.333333333333336
26.473230878954332,54.666666666666664
26.30178780834036,55.0
26.13034473772639,55.333333333333336
26.473230878954332,55.666666666666664
25.958901667112418,56.0
26.473230878954332,56.333333333333336
26.30178780834036,56.666666666666664
26.30178780834036,57.0
26.473230878954332,57.333333333333336
26.30178780834036,57.666666666666664
26.30178780834036,58.0
26.473230878954332,58.333333333333336
26.473230878954332,58.666666666666664
26.30178780834036,59.0
26.30178780834036,59.333333333333336
26.644673949568304,59.666666666666664
26.13034473772639,60.0
26.644673949568304,60.333333333333336
26.473230878954332,60.666666666666664
26.473230878954332,61.0
26.473230878954332,61.333333333333336
26.644673949568304,61.666666666666664
26.644673949568304,62.0
26.30178780834036,62.333333333333336
26.644673949568304,62.666666666666664
26.81611702018228,63.0
